English Word,Original Bengali Word,Predicted Bengali Word
yonii,যোনী,য়নী
dhar,ধর,ধর
holey,হোলে,হলে
shreshthatwabaadeeder,শ্রেষ্ঠত্ববাদীদের,শ্রেষ্টাশ্ববাদীদের
sampwriktite,সম্পৃক্তিতে,সম্বৃৃক্তিতে
guinee,গিনি,গুইনি
thoi,থই,থই
pratishthaanasootre,প্রতিষ্ঠানসূত্রে,প্রতিষ্ঠানসূত্রে
samashtir,সমষ্টির,সমস্তির
oracle,ওরকল,ওরাকল
naarakeeya,নারকীয়,নরকেয়
bosontokkale,বসন্তকালে,বসন্তকাালে
anannata,অনন্যতা,অনন্নতা
aatangke,আতংকে,আটাংকে
komar,কমার,কোমার
koilase,কৈলাসে,কৈলাসে
shainamaasika,ষৈনমাসিক,শৈনমাাসিকা
pracessar,প্রসেসর,প্র্সসসসসার
claire,ক্লইরে,ক্লেরে
pokser,পক্ষের,পক্সের
prokolpotite,প্রকল্পটিতে,প্রকল্পটিতে
allcargo,অল্কার্গো,অ্যালকার্গ
byadamintan,ব্যাডমিন্টন,ব্যাডমিন্নান
aantahnagar,আন্তঃনগর,আন্তঃনগর
prokolposhomuher,প্রকল্পসমূহের,প্রকল্পশমূহের
atwovishvaser,আত্মবিশ্বাসের,আত্মবিশ্বাসের
paranirbharasheelataay,পরনির্ভরশীলতায়,পরনির্ভরেশলীতায়
torres,তোর্রেস,টরেস
boroncho,বরঞ্চ,বর্চচ
sikkhoker,শিক্ষকের,সিক্ষকের
aujanta,অজন্তা,অজনন্ত
honduraser,হন্ডুরাসের,হন্দুরাসের
pravriti,প্রভৃতিও,প্রাভৃতি
vromoner,ভ্রমনের,ভ্রমণের
shivpuri,শিবপুরি,শিবপুরি
bilet,বিলেত,বিলেত
kwrishakeraao,কৃষকেরাও,কৃষকেরাও
vitti,ভিত্তি,ভিত্তি
kirtikey,কীর্তিকে,কীর্তিকে
choudhary,চৌধুরী,চৌধারি
maddox,মদোক্স,ম্যাডক্স
ponjikaa,পঞ্জিকা,পঞ্জিকা
dakkhin,দক্ষিন,দক্ষিণ
global,গ্লোবাল,গ্লোবাল
jonosonjoger,জনসংযোগের,জনসংযোগের
sklerasisa,স্ক্লেরোসিস,স্ক্লেরাসাসা
deleon,দেলেওন,ডেলিওন
amroha,আম্রোহা,আমরোহা
ovinito,অভিনীত,অভিনিত
dhale,ঢালে,ধাল
kobutor,কবুতর,কবুতর
staliner,স্টালিনের,স্টালিনের
maagerako,মাগেরকো,মাগেরাকো
roktokshoron,রক্তক্ষরণ,রক্তকরষণ
joneer,যোনীর,জনীর
bolatkarer,বলাৎকারের,বলতাকারের
khammam,খাম্মাম,খাম্মাম
boore,বোর,বূরে
shekond,সেকেন্ড,শেকন্দ
sparshey,স্পর্শে,স্পর্শে
oviyojaner,অভিযোজনের,অভিয়জনের
motihari,মোতিহারি,মতিহারী
shommotee,সম্মতি,সম্মতি
lishta,লিস্ট,লিশ্ত
bojhano,বোঝান,বোঝানো
swaroope,স্বরূপে,স্বরূপে
prakalpagulir,প্রকল্পগুলির,প্রকল্পগুলির
kelengkaarir,কেলেঙ্কারির,কেলেংকারীর
ponce,পনসে,পন্সি
multimedia,মাল্টিমিডিয়া,মাল্টিমিডিয়া
theme,থিম,তেমে
pratnasthaaner,প্রত্নস্থানের,প্রত্নস্থানের
elakata,এলাকাটা,এলাকাটা
bhorsha,ভরসা,ভরসা
parishodher,পরিশোধের,পরিষোধের
eurote,ইউরোতে,ইউরোতে
jbele,জ্বেলে,জেবেলে
nariito,নারীত্ব,নারীতো
morales,মোরাল্স্,মোরালেস
deebita,ডেবিট,দীবিতা
isootoope,আইসোটোপ,ইসূতুপে
malayeeshiya,মালয়েশিয়া,মালয়েশীয়
ehoramer,ইহরামের,এহরামের
magdum,মাগডুম,মগদাম
ameeje,আমেজে,আমেজে
soorir,সুরির,সূরির
newton,নিউটন,নিউটন
bhabnao,ভাবনাও,ভাবনাও
sarah,সারাহ,সারাহ
stop,স্টপ,স্টপ
awejontar,অজন্তার,অয়েজন্টর
shaaphollo,সাফল্য,সাফফোল
mindtree,মাইন্ডট্রি,মাইন্ডট্রি
gethika,গথিক,গেথিকা
neirajjo,নৈরাজ্য,নেইরাজ্জো
rajotwer,রাজত্বের,রাজত্বের
baharampur,বহরমপুর,বহরমপুর
annarao,অন্যরাও,আন্নারাও
ochoa,ওচোয়া,ওচুয়া
asseet,অ্যাসেট,অসীট
degreedhari,ডিগ্রিধারী,ডিগ্রেধারি
pradesh,প্রাদেশ,প্রদেশ
bushtara,বুস্টার,বুষ্টার
garaze,গ্যারেজে,গারাজে
lohanee,লোহানী,লোহানী
osamajik,অসামাজিক,অসামাজিক
varghese,ভরঘেসে,বারঘেসে
madala,মাদালা,মাদালা
godaatei,গোড়াতেই,গোড়াতেই
prince,প্রিন্স,প্রিন্স
chhanader,ছানাদের,ছানাদের
obheeneta,অভিনেতা,অভিনেতা
hercules,হেরকুলেস,হার্কুলেস
recine,রেসিন,রেসিনে
kaakina,কাকিনা,কাকিনা
miles,মাইলস,মিলেস
baarmudaar,বারমুডার,বারমুদার
rakamer,রকমের,রাকামের
hima,হিম,হিমা
oshoho,অসহ,অশহ
stanton,স্টান্টোন,স্ট্যান্টন
bidweshee,বিদ্বেষী,বিদ্বেষী
byaataar,বেটার,ব্যাার
moithili,মৈথিলী,মৈথিলি
aisha,আইস,আশে
raama,রামা,রামা
chadorer,চাদরের,চাদরের
ayaaktivis,অ্যাক্টিভিস,অয়ক্তিিভিস
shoileekey,শৈলীকে,শৈলীকে
delibhery,ডেলিভারী,ডেলিভেরি
ideena,ইডেন,আদিনা
rabeenahuder,রবীনহুডের,রবীনাহুদের
kompo,কম্প,কম্পো
taalikaabhuktik,তালিকাভুক্তিক,তালিকাভুক্তিক
ibharista,এভারেস্ট,ইভারিস্টা
onnyorao,অন্যরাও,অন্যরাও
mishta,মিষ্ট,মিশতা
bhasaaro,ভাষারও,ভাষারও
botuta,বতুতা,বটুটা
haalal,হালাল,হালাল
oitijjhagata,ঐতিহ্যগত,ঐতিজ্ঝতা
teis,তেইশ,টাইস
nischal,নিসচাল,নিশ্চল
bishesaggo,বিষেশজ্ঞ,বিশেষাজ্ঞ
nilkuthi,নীলকুঠি,নীলকুঠি
raameli,রামেলি,রামেলী
spandana,স্পান্দানা,স্পন্দনা
protyokho,প্রত্যক্ষ,প্রত্যখখ
avivaabakaraa,অভিভাবকরা,অভিভাবকারা
priyadarshi,প্রিয়দর্শী,প্রিয়দর্শী
jamiti,জমিটি,জামিতি
liich,লিচ,লিচ
chaangaa,চাঙ্গা,ছাঙ্গা
dekhab,দেখব,দেখাব
jeelaneer,জিলানীর,জিলানির
adhinaayakatwa,অধিনায়কত্ব,অধিনয়ক্তত্ব
thakteyi,থাকতেই,থাকতেই
pathkrame,পাঠক্রমে,পাঠকরামে
bishaktapraanee,বিষাক্তপ্রাণী,বিশক্তাপ্রাণী
shtema,স্টেম,স্টেমা
kipaarao,কিপারও,কিপারাও
apamaane,অপমানে,অপমানে
iowa,আইওডাব্লিউএ,ইওয়া
bhansali,ভানসালি,ভানশালী
sikkhokou,শিক্ষকও,সিক্ষকৌ
nirdhaarak,নির্ধারক,নির্ধারক
hootel,হোটেল,হোটেল
baimekaay,বইমেলায়,বাইমেকায়
besheerbhag,বেশিরভাগ,বেশরীভাগ
berlovii,বেরলভী,বারলোভি
magnesium,ম্যাগনেসিয়াম,ম্যাগেনসিয়াম
vuna,ভুনা,ভুনা
atishth,অতিষ্ঠ,অতিষ্ঠ
ojantei,অজান্তেই,ওজান্তেই
bajirao,বাজিরাও,বাজিরাও
bhobshyat,ভবিষ্যৎ,ভব্যস্ত
monhpoota,মনঃপূত,মনপপুতা
busstand,বাসস্ট্যান্ড,বাস্ট্যান্ড
osaho,অসহ,ওসাহো
importarsader,ইম্পোর্টার্সদের,ইম্পর্টাসদার
blair,ব্লইর,ব্লের
fisa,ফিস,ফাসা
darshakake,দর্শককে,দর্শকাকে
prokashonar,প্রকাশনার,প্রকাশনার
bhardwajer,ভরদ্বাজের,ভর্দ্বাজের
ponkoj,পঙ্কজ,পঙ্কজ
ranatori,রণতরী,রানতরি
ganeshapujo,গণেশপুজো,গনেশাপুজো
pun,পান,পুন
wang,ওয়াং,ওয়াং
such,সূঁচ,সুচ
prakalposamuho,প্রকল্পসমূহ,প্রকল্পসমূহ
israni,ইস্রানি,ইসরানী
zuktipoornabhaabe,যুক্তিপূর্ণভাবে,যুক্তিপূর্ণভাবে
tarunera,তরুণেরা,তরুনেরা
prinshipala,প্রিন্সিপাল,প্রিন্সিপাল
samorthito,সমর্থিত,সমর্থিত
sador,চাদর,সদর
jubktir,যুবকটির,যুবকটির
jalpaiguri,জলপাইগুরি,জলপাইগুরি
railway,রেলওয়ে,রেলওয়ে
bente,বেঁটে,বেন্তে
dusbachar,দশবছর,দুসবাচার
panthaa,পন্থা,পানথথা
raastaghat,রাস্তাঘাট,রাস্তাঘাট
kinaaraa,কিনারা,কিনারা
refractories,রেফ্রাক্টরিজ,রিফ্র্যাক্টরিজ
paso,পাসো,পাসো
susana,সুসান,সুসানা
lareh,করেঃ,লারেহ
prokolposhomuho,প্রকল্পসমূহ,প্রকল্পশমূহ
pareekshaay,পরীক্ষায়,পরিক্ষায়
iizotop,আইসোটোপ,ইইজোপো
ranakhetre,রণক্ষেত্রে,রণাখেত্রে
nagarabaasee,নগরবাসী,নগরবাসী
lekhaapadaa,লেখাপড়া,লেখাপাড়া
obosor,অবসর,অবসর
akhando,অখণ্ড,অখান্ড
vance,ভনস,ভেন্স
bishannata,বিষণ্নতা,বিশান্নতা
bichchhinne,বিচ্ছিন্নে,বিচ্ছিন্নে
shomvunath,শম্ভুনাথ,শম্ভুনাথ
enginiir,ইঞ্জিনিয়ার,ইঞ্জিনির
hoomeoopathic,হোমিওপ্যাথিক,হুমেইপাপাইটিক
prokalpasamuha,প্রকল্পসমূহ,প্রকালসমূহ
vata,ভাতা,ভাটা
guntur,গুন্তুর,গুন্টুর
abosaner,অবসানের,অবসানের
mitir,এমআইটির,মিতির
sathigon,সাথীগণ,সাথীগণ
grover,গ্রোভার,গ্রোভার
databeis,ডাটাবেজ,ডাটাবেজ
renuka,রেনুকা,রেনুকা
bayaane,বয়ানে,বায়ানে
maunjur,মঞ্জুর,মঞ্জুর
titei,টিতেই,টিতেই
ekhani,এখনি,এখনি
ghethe,ঘেথে,ঘেথে
sabamarin,সাবমেরিন,সাবামারিন
desabathula,দেসাবাথুলা,দেসাবাথুলা
shofiul,শফিউল,শোফিউল
garafaa,গরফা,গরাফা
paints,পেইন্টস,পেইন্ট্স
farsaa,ফর্সা,ফর্সা
ganabidhwangsi,গণবিধ্বংসী,গণবিধ্বংসী
aarakani,আরাকানি,আরাকানী
romantikata,রোমান্টিকতা,রোমান্তিকতা
aphsari,আফসারী,আফসারি
norobalir,নরবলির,নরবালির
chanir,ছানির,চানির
elaakaagulor,এলাকাগুলোর,এলাকাগুলোর
durgey,দুর্গে,দুর্গে
durgavanshi,দুর্গাবংশী,দুর্গাবশ্ি
musolmander,মুসলমানদের,মুসলম্যান্ডের
nirvachak,নির্বাচক,নির্বাচক
everester,এভারেস্টের,ইভারেস্টার
iranayo,ইরানেও,ইরানয়
songbadmadhyam,সংবাদমাধ্যম,সংবাদমাধ্যমা
obhinetader,অভিনেতাদের,অভিনেতাদের
khal,খল,খাল
grihakarmeekeo,গৃহকর্মীকেও,গৃহকর্মীকেও
aishwary,ঐশ্বর্য,ঐশ্বরী
behar,বিহার,বেহার
kuli,কুলী,কুলী
abohita,অবহিত,অবহিতা
holdinsha,হোল্ডিংস,হোল্ডিনশা
parota,পরোটা,প্যারোটা
cherry,চেরি,চেরি
biplobider,বিপ্লবীদের,বিপ্লবীদের
sangosthagulor,সংস্থাগুলোর,সংস্থাগুলোর
jamshedpur,জামসেদপুর,জামশেদপুর
silverer,সিলভারের,সিলভেরের
gentry,জেন্ট্রি,গেন্ট্রি
akkhorey,অক্ষরে,আক্ষরে
monjur,মঞ্জুর,মঞ্জুর
samotaler,সমতলের,সমতলের
ichchhemoto,ইচ্ছেমত,ইচ্ছেমত
momabaati,মোমবাতি,মোমাবাটি
jarvis,জারভিস,জার্ভিস
joloronge,জলরঙের,জলরঙ্গে
uinnslet,উইন্সলেট,আইন্সলেট
skoorim,স্কোরিং,স্কুরিম
gonjogajog,গণযোগাযোগ,গন্যোগাযোগ
asthishondhite,অস্থিসন্ধিতে,অস্থিসন্ধিতে
jansanke,জনসনকে,জানসানকে
phis,ফিস,জিএস
shoot,শ্যুট,সুট
chezt,চেষ্ট,চেজট
prakash,প্রাকাশ,প্রকাশ
virodhdhey,বিরোদ্ধে,বিরোধ্যে
ahnapher,আহনাফের,আঁনাফের
shankha,শঙ্খ,শাঙ্খ
averest,এভারেস্ট,এয়েরেস্ট
noble,নোবেল,নোবল
soseti,সোসাইটি,সোসেতি
apratul,অপ্রতুল,অপ্রতুল
vaikey,ভাইকে,ভাইকে
shaahaabaa,সাহাবা,সাহাবা
parl,পার্ল,পার্ল
biruddhaacharanakaareeder,বিরুদ্ধাচরণকারীদের,বিরুদ্ধাচরণকারীদের
shouvaggyobosoto,সৌভাগ্যবশত,শৌভাগ্যবস্বত
loging,লগিং,লজিং
sarkaaser,সার্কাসের,সরকাসের
beshirbhaager,বেশিরভাগের,বেশীরভাগের
tukrogulo,টুকরোগুলো,তুকরোগুলো
dostidaarer,দস্তিদারের,দস্তিদারের
sunnyvale,সানিভেল,সান্নিবালে
artemis,আর্টেমিস,আরতেমিস
hungari,হাঙ্গেরী,হুঙ্গারি
poolioo,পোলিও,পোলিও
mornin,মর্নিং,মর্নিন
yatraagulor,যাত্রাগুলোর,যাত্রাগুলোর
weto,ভেটো,ওয়েটো
hajaree,হাজারী,হাজারি
samrater,সম্রাটের,সামরাতের
manushyo,মনুষ্য,মনুষ্য
chaturvedi,চতুরবেদী,চতুর্বেদী
sampoonarvaabe,সম্পূণর্ভাবে,সম্পন্রভাবে
doie,দৈ,দৈ
wahhaber,ওহাবের,ওয়াহাাবের
rachi,রাঁচি,রাচি
dominguez,ডমিংউইজেড,ডমিংগুয়েজ
chhaanagoolo,ছানাগুলো,ছানাগুলো
paashwabartee,পাশ্ববর্তী,পশ্ববর্ত্তি
sclerosis,স্ক্লেরোসিস,স্ক্লেরোসিস
jeebonjapone,জীবনযাপনে,জীবনজাপনে
durantopona,দুরন্তপনা,দুরান্তপোনা
melton,মেল্টন,মেল্টন
jounatake,যৌনতাকে,যৌনাাকে
deebit,ডেবিট,ডেবিট
jamaaguloo,জামাগুলোও,জমাগুলো
taki,তাকি,তাকি
cikitsharoto,চিকিৎসারত,সিকিটশারত
kreeshijato,কৃষিজাত,কৃষিজাত
deshtrayara,ডেস্ট্রয়ার,দেশত্রায়রা
bilaspur,বিলাসপুর,বিলাসপুর
kharagpur,খরগপুর,খরাগপুর
udarey,উদরে,উদারে
estes,এস্টেস,এস্টেস
nirosh,নিরস,নিরোষ
shakkhat,সাক্ষাৎ,শাক্ষাত
madraj,মাদ্রাজ,মাদরাজ
attabasyak,অত্যাবশ্যক,অত্তাবস্যক
durgoti,দুর্গটি,দুর্গতি
manosikota,মানসিকতা,মানসিকতা
juktarashtroke,যুক্তরাষ্ট্রকে,যুক্তার্ষার্কে
bargamool,বর্গমূল,বারগামুল
dudhoroner,দুধরনের,দুধরণের
elaakasomuho,এলাকাসমূহ,এলাকাসমমহ
patrick,পট্রিক,পট্রিক
iraane,ইরানে,ইরানে
taaki,তাকি,তাঁকি
plateti,প্লেটটি,প্লেটেটি
sflinter,স্প্লিন্টার,স্লিন্টার
saifara,সাইফার,সাইফার
otiiter,অতীতের,অতীতের
chhutate,ছুটতে,ছুতাতে
calhoun,কালহৌন,ক্যালহহন
shikkhar,শিক্ষার,শিক্ষার
seleucus,সেলুকাস,সেলুকাস
hackensack,হাকেন্সাক,হ্যাকেনস্যাক
koleze,কলেজে,কলেজে
pakshipremee,পক্ষিপ্রেমী,পাকশিপ্রেমী
februari,ফেব্রুয়ারী,ফেব্রুয়ারি
khilaphater,খিলাফতের,খিলাফাতের
mashak,মশক,মাশক
tulab,তুলব,তুলব
rectifiers,রেক্টিফায়ার্স,রেক্টিফায়ারস
bbondhyaa,বন্ধ্যা,ব্যন্ধ্যা
krodhe,ক্রোধে,ক্রধধে
horinkey,হরিণকে,হরিনকে
taayaalaar,তায়ালার,তাঁয়াল
strongsville,স্ট্রংস্ভিলে,স্ট্রংসভিল
oitijjhogata,ঐতিহ্যগত,ঐতিহ্যগতা
jaunota,যৌনতা,যৌনতা
raag,রাগ,রাগ
cholocchitrotite,চলচ্চিত্রটিতে,চলচ্চিত্রটিতে
protisthakari,প্রতিষ্ঠাকারী,প্রতিষ্ঠাকারী
oshlilotar,অশ্লীলতার,অশ্লীলতার
beeramuktiyuddha,বীরমুক্তিযুদ্ধ,বেরামিক্তুদ্য
karmasuchi,কর্মসুচি,কর্মসূচী
banaparte,বোনাপার্ট,বনপর্তে
iijotop,আইসোটোপ,ইইজতপ
berwyn,বেরওয়ন,বারইন
meyilke,মেইলকে,মেয়লিকে
krishnanagar,কৃষ্ণনগর,কৃষ্ণনগর
rois,রইস,রইস
nirbaher,নির্বাহের,নির্বাহের
naahole,নাহলে,নাহোলে
juktarashtrei,যুক্তরাষ্ট্রেই,যুক্তরাষ্ট্রেই
noblesville,নোবেলস্ভিলে,নবলসভিল
koncheer,কঞ্চির,কোঞ্চির
doshgun,দশগুণ,দশগুন
selfish,সেলফিস,সেলফিস
seekkhokota,শিক্ষকতা,শীক্ষকতা
musalmander,মুসলমানদের,মুসলমান্দের
babyloner,ব্যাবিলনের,বেবিলনের
sarahoke,সারাহকে,সরহাকে
masakadza,মাসাকাদজা,মাসাকাদা
mama,মাম,মামা
onlee,ওনলি,অনলী
dinonath,দীননাথ,দিনোনাথ
thaakteo,থাকতেও,থাকতেও
mastarapisa,মাস্টারপিস,মস্তরাপিসা
akshorgulo,অক্ষরগুলো,আক্ষরগুলো
maatridibya,মাতৃদিব্য,মাতৃদীব্য
pepshhi,পেপসি,পেপসি
patharakhande,পাথরখন্ডে,পাথরখান্ডে
obhedda,অভেদ্য,অভেদ্য
mul,মূল,মুল
letarss,লেটারস,লিটার্স
morich,মরিচ,মরিচ
noukabaich,নৌকাবাইচ,নৌকাবাচ
bhejaal,ভেজাল,ভেজাল
nean,নিয়ন,নিয়ান
sahinsatake,সহিংসতাকে,সহিনসসাাকে
maokuph,মওকুফ,মাওকুফ
attabashyok,অত্যাবশ্যক,অত্তাবশ্যক
danbury,ডানবারি,ডানবুরি
ganapurto,গনপূর্ত,গণপুর্ত
irvine,ইরভাইন,ইরভাইন
apekkhamaan,অপেক্ষমান,অপেক্ষান
ekokkey,একককে,একক্কে
batso,বৎস,বাতসো
silva,সিলভা,সিলভা
kelly,কীলয়,কেলি
mitrake,মিত্রকে,মিত্রাকে
quraishi,কোরেশী,কুরাইশি
biplabeekey,বিপ্লবীকে,বিপ্লবীকে
boostar,বুস্টার,বুস্তার
sparsha,স্পর্শ,স্পর্শ
carlsbad,চার্লসবদ,কার্লস্যাড
shikkhaabyabasthaatike,শিক্ষাব্যবস্থাটিকে,শিক্ষাব্যসসথাতিকে
titler,টাইটেলের,টিটলার
bhaasari,ভাষারই,ভাষারই
slam,স্লাম,স্লম
pal,পল,পাল
daanish,ড্যানিশ,দানিশ
jounotake,যৌনতাকে,যৌনতাকে
antorbhuktir,অন্তর্ভুক্তির,অন্তর্ভূক্তির
pipol,পিপল,পিপল
stoori,স্টোরি,স্তুরি
panghal,পাংহাল,পাংঘল
rodrigej,রদ্রিগেজ,রদ্রিগেজ
vatakara,ভাটাকারা,ভাটাকারা
harison,হ্যারিসন,হারিসন
bivrat,বিভ্রাট,বিভ্রত
surendranagar,সুরেন্দ্রনগর,সুরেন্দ্রনগর
aaeeslyande,আইসল্যান্ডে,আইসল্যান্ডে
bajare,বাজারে,বাজারে
haute,হাউতে,হাতে
alipur,আলিপুর,আলীপুর
bisnur,বিষ্ণুর,বিস্নুর
panchomangsha,পঞ্চমাংশ,পাঁচমাংশা
meesopotamia,মেসোপটেমিয়া,মীসপতামিয়া
barwani,বারবানি,বারবানি
nuzool,নুযূল,নুজোল
shikshabandhura,শিক্ষাবন্ধুরা,শিক্ষাবন্ধুরা
bisarga,বিসর্গ,বিসর্গ
kromohrashoman,ক্রমহ্রাসমান,ক্রমহর্মসান
bismarck,বিস্মার্ক,বিসমার্ক
indraprastha,ইন্দ্রপ্রস্থ,ইন্দ্রপ্রস্থ
ghai,ঘাই,ঘাই
aurangzeb,আওরঙ্গযেব,আউরংগেবেন
elakaguli,এলাকাগুলি,এলাকাগুলি
pipasha,পিপাসা,পিপাশা
peether,পীঠের,পিঠার
largo,লার্গো,লার্গো
dip,দ্বীপ,ডিপ
chetan,চেতন,চেতান
thakteo,থাকতেও,থাকতেও
chandranaathabaabuke,চন্দ্রনাথবাবুকে,চন্দ্রনাথবাবুকে
bhaira,ভাইরা,ভাইরা
oriyentaalistaraa,ওরিয়েন্টালিস্টরা,অরিয়েন্টালিস্টারা
dangshaner,দংশনের,দাংশানের
rampur,রম্পুর,রামপুর
bondiir,বন্দীর,বন্দীর
atite,অতীতে,অতীতে
story,স্টোরি,স্টোরি
joomlaar,জুমলার,জমমলার
kendratitei,কেন্দ্রটিতেই,কেন্দ্রাটিতেই
mosjidtitey,মসজিদটিতে,মসজিদটিতে
projonme,প্রজন্মে,প্রজন্মে
chaaler,চালের,চালের
sujala,সুজলা,সুজালা
salmaanke,সালমানকে,সালমানকে
janerai,জনেরই,জানেরাই
bidyutkendragulor,বিদ্যুৎকেন্দ্রগুলোর,বিদ্যুৎকেন্দ্রগুলোর
onry,অঁরি,ওনরি
prasheshara,প্রসেসর,প্রশেষার
viveker,বিবেকের,ভিভেকের
nishchayataa,নিশ্চয়তা,নিশ্চয়তা
hosur,হোসুর,হোসুর
ptoleemy,টলেমি,প্লোমিমি
durbasa,দুর্বাসা,দুর্বাসা
khunjchilo,খুঁজছিল,খুঁজছিল
banduker,বন্দুকের,বন্দুকের
shaji,শাজি,শাজি
simitovabe,সীমিতভাবে,সিমিতভাবে
kuchi,কুচি,কুচি
kiran,কিরান,কিরান
janajaag,জনজাগ,জানাজা
nootes,নোটস,নুটেস
sheleshma,শ্লেষ্মা,শেলেশমা
hyaandasetaguloteo,হ্যান্ডসেটগুলোতেও,হ্যান্ডাসেটেটগুলোতেও
resortte,রিসোর্টটি,রিসোর্টটি
hujaail,হুজাইল,হুজাইল
children,চিলড্রেনের,চিলড্রেন
gomveera,গম্ভীরা,গম্ভীরা
democryatik,ডেমোক্র্যাটিক,ডেমোক্র্যাটিক
dolguloke,দলগুলোকে,দলগুলোকে
aaphsaarii,আফসারী,আফসপারি
kishtir,কিস্তির,কিশতির
dhorechen,ধরেছেন,ধরেছেন
tre,ট্রে,ট্রে
songitagya,সঙ্গীতজ্ঞ,সঙ্গীতজ্ঞ
sabhaashaleeta,সভাস্হলীত,সভাশলীত
law,ল,লাও
samataler,সমতলের,সমতলের
burleson,বুরলেসন,বারলেসন
smarokgrantha,স্মারকগ্রন্থ,স্মরকগ্রন্থ
comradeganer,কমরেডগণের,কমডারডেনানের
porisodhito,পরিশোধিত,পরিসোধিত
cheitanyamekang,চৈতন্যমেকং,চৈতন্যমেকাং
former,ফর্মের,ফর্ার
barancho,বরঞ্চ,বারাঞ্চো
quartergulote,কোয়ার্টারগুলোতে,কাযার্টারগুলোতে
durontopona,দুরন্তপনা,দূর্ণতপনা
breaqing,ব্রেকিং,ব্রেকিং
andaramahale,অন্দরমহলে,আন্দরমহলে
saif,সাইফ,সেইফ
aanun,আনুন,আনুন
south,সাউথ,সৌথ
shalim,সালিম,শালিম
eliminationer,এলিমিনেশনের,এলিমিনেশনের
lasta,লাস্ট,লস্তা
koppula,কোপ্পুলা,কোপ্পুলা
ukimedia,ইউকিমিডিয়া,উকিমেদিয়া
yusoof,ইউসূফ,ইয়ুসুফ
guwahati,গুয়াহাটি,গুয়াহাটি
rabeendranaathabaaburaa,রবীন্দ্রনাথবাবুরা,রবীন্দ্রজাথবাবুরা
zuktibuddhi,যুক্তিবুদ্ধি,যুক্তিবুদ্ধি
dostidarer,দস্তিদারের,দস্তিদারের
avidhaan,অভিধান,অভিধান
mastek,মস্তেক,মস্তেক
aosh,আওস,আওস
yoni,যোনী,ইয়নি
torrance,টোররান্স,টরর্ন
chaabiti,চাবিটি,চাবিটি
dokaankey,দোকানকে,দোকানকে
ayaantixidyaant,অ্যান্টিক্সিড্যান্ট,অ্যান্ত্যিক্যিৎ্ন
streelokamaatrei,স্ত্রীলোকমাত্রেই,স্ত্রীলোকমাত্রেই
monjoorer,মঞ্জুরের,মঞ্জুরের
visheshagyo,বিষেশজ্ঞ,বিশেষাজ্ঞ
samnwita,সমন্বিত,সাম্ন্বিতা
cheekitsaaroto,চিকিৎসারত,চিকিত্ারিত
senaapradhaaner,সেনাপ্রধানের,সেনাপ্রধানের
salimer,সেলিমের,সালিমের
enterprise,এন্টারপ্রাইজ,এন্টারপ্রেস
soommitra,সুমিত্রা,সুম্মিত্রা
tyson,টাইসন,টাইসন
granthagulote,গ্রন্থগুলোতে,গ্রান্থাগুলোতে
stetionery,স্টেশনারি,স্টেশনেরি
premeerai,প্রেমীরাই,প্রেমিরাই
bishwaasasthaapanakaareeder,বিশ্বাসস্থাপনকারীদের,বিশ্বাসস্থাপতানাদের
presidiyama,প্রেসিডিয়াম,প্রেসিডিয়ামা
bajrapurer,বজ্রপুরের,বজরাপুরের
prajanmo,প্রজন্ম,প্রজন্ম
somonnito,সমন্বিত,সমন্নিত
isotop,আইসোটোপ,ইসতপ
apakarm,অপকর্ম,অপকর্ম
mohasunno,মহাশূন্য,মহাসুন্ন
kuthhar,কুঠার,কুঠার
katta,কাট্টা,কাট্টা
sparshi,স্পর্শী,স্পর্শি
futachhe,ফুটছে,ফুটাচে
beekaar,বিকার,বীকার
hostantorer,হস্তান্তরের,হস্তান্তরের
phookor,ফুকোর,ফুকুর
maashtarpeeshh,মাস্টারপিস,মাষ্ট্রপীশ
settii,সেটি,সেত্তিই
aliraj,আলীরাজ,আলীরাজ
galaatipe,গলাটিপে,গ্যালাটিপে
dhormiyo,ধর্মীও,ধর্মীয়
rathideb,রথিদেব,রথিদেব
shaastimoolak,শাস্তিমূলক,শাস্তিমূলক
bouddhik,বৌদ্ধিক,বৌদ্ধিক
dorgaher,দরগাহের,দরগাহের
ouddhotter,ঔদ্ধত্যের,ঔদ্ধত্যের
shhador,চাদর,শাদর
mulatubi,মুলতুবি,মুলাতুবি
aashore,আসরে,আশরে
cholochchitratir,চলচ্চিত্রটির,চলচ্চিত্রাটির
rezaur,রেজাউর,রেজাউর
proteestha,প্রতিষ্ঠা,প্রতিস্থা
aantarjaatik,আর্ন্তজাতিক,আন্তর্জাতিক
guineatey,গিনিতে,গুইনেইতে
governor,গভর্ণর,গভর্নর
nigeepanamoolak,নিগীপনমূলক,নিগীপানমূলক
jatragulor,যাত্রাগুলোর,যাত্রাগুলোর
ontu,অন্তু,অন্তু
tune,টিউন,টুনে
taheera,তাহিরা,তাহিররা
attabassyak,অত্যাবশ্যক,অত্তাবস্যক
abasar,অবসর,অবসর
molee,মলি,মলি
chyetim,চ্যাটিং,চ্যাটিং
jodhpur,যোধপুর,যোধপুর
cheyenne,ছেয়েন্নে,চেয়েন
alipore,অলিপোরে,আলিপোর
aachhi,আছি,আছি
baliga,বলিগা,বালিগা
bachharabhar,বছরভর,বছরভর
shomomona,সমমনা,শমমোনা
setii,সেটি,সেতিই
