English,Original,Seq2Seq,Attention
moortikalpanaa,মূর্তিকল্পনা,মোর্তিকল্পনা,মূর্তিকল্পনা
dearborn,ডিয়ারবর্ন,ডারবর্ন,ডিয়ারবর্ন
bhasar,ভাষার,ভাসার,ভাষার
sevagram,সেভাগ্রাম,সেবাগ্রাম,সেভাগ্রাম
zavala,জভল,জাভালা,জভল
raktamaakhaa,রক্তমাখা,রক্তমখা,রক্তমাখা
trinidader,ত্রিনিদাদের,তৃণীদাদের,ত্রিনিদাদের
ipla,আইপিএলে,ইপ্লা,আইপিএলে
dongshoner,দংশনের,ডংশনের,দংশনের
mist,মিষ্ট,মিস্ট,মিষ্ট
sadasyogan,সদস্যগন,সদস্যগণ,সদস্যগন
age,এইজ,অ্যাজে,এইজ
karamot,কারামত,কারামট,কারামত
dutta,দত্ত,দুত্তা,দত্ত
kingdom,কিংডমের,কিংডম,কিংডমের
guder,গুদের,গুডের,গুদের
khatoon,খতূন,খাতুন,খতূন
purbe,পূর্বে,পূরবে,পূর্বে
kuntir,কুন্তীর,কুন্টির,কুন্তীর
finserv,ফিনসার্ভ,ফিনসের্ভ,ফিনসার্ভ
udbhijjo,উদ্ভিজ্জ,উদ্ভিজ্ঞ,উদ্ভিজ্জ
bagdatta,বাগদত্তা,বাগদাতা,বাগদত্তা
biplobikey,বিপ্লবীকে,বিপ্লবিকে,বিপ্লবীকে
tahale,তাহলে,তাহালে,তাহলে
santan,সনাতন,সন্তান,সনাতন
niraanando,নিরানন্দ,নিরাণন্দ,নিরানন্দ
sameecheen,সমীচীন,সমীছিন,সমীচীন
swich,স্যুইচ,সিবিচ,স্যুইচ
shplintar,স্প্লিন্টার,শ্পলিন্টার,স্প্লিন্টার
seekkhake,শিক্ষাকে,সিক্ষাকে,শিক্ষাকে
scleroosis,স্ক্লেরোসিস,স্কালরোসিস,স্ক্লেরোসিস
nachghar,নাচঘর,নাছঘর,নাচঘর
poricchonno,পরিচ্ছন্ন,পরিচন্ন,পরিচ্ছন্ন
anup,আনুপ,অনুপ,আনুপ
ronaalado,রোনালদো,রোনালাদো,রোনালদো
barden,বার্ডেন,বররডেন,বার্ডেন
sikkhok,শিক্ষক,সিক্ষক,শিক্ষক
charja,চার্জ,চার্জা,চার্জ
frisco,ফ্রিস্কো,ফ্রিসকো,ফ্রিস্কো
prochondobhabe,প্রচণ্ডভাবে,প্রচন্ডভাবে,প্রচণ্ডভাবে
samotulya,সমতুল্য,সামোতুল্য,সমতুল্য
prakashona,প্রকাশনা,প্রকাশন,প্রকাশনা
padakkhepatuku,পদক্ষেপটুকু,পদক্ষেতাকুকু,পদক্ষেপটুকু
rangajaatraa,রঙ্গযাত্রা,রাঙ্গাযাত্রা,রঙ্গযাত্রা
raiganj,রায়গঞ্জ,রাইগঞ্জ,রায়গঞ্জ
filipine,ফিলিপাইন,ফাইলিপাইন,ফিলিপাইন
gregori,গ্রেগরি,গ্রেগরী,গ্রেগরি
koibarta,কৈবর্ত,কৈবার্তা,কৈবর্ত
natnee,নাতনী,নাটনি,নাতনী
braunfels,ব্রাউনফেলস,ব্রানফেলস,ব্রাউনফেলস
ekotabaddho,একতাবদ্ধ,একতাবা্ধ,একতাবদ্ধ
malhotra,মলহোত্রা,মালহোত্রা,মলহোত্রা
kapurthala,কপুর্থলা,কাপুরথালা,কপুর্থলা
attabashyak,অত্যাবশ্যক,অত্তবসা্যক,অত্যাবশ্যক
bayakat,বয়কট,বায়াকাত,বয়কট
gosthite,গোষ্ঠীতে,গস্থিতে,গোষ্ঠীতে
haryana,হরিয়ানা,হারিয়ানা,হরিয়ানা
sherwer,সার্ভার,শার্য়ার,সার্ভার
rohasye,রহস্যে,রোহস্যে,রহস্যে
nairajyo,নৈরাজ্য,নাইরাজ্য,নৈরাজ্য
daudaate,দৌড়াতে,ডৌড়াতে,দৌড়াতে
udbignotar,উদ্বিগ্নতার,উদবিজ্ঞাতার,উদ্বিগ্নতার
sultanpur,সুলতানপুর,সুলতনপুরের,সুলতানপুর
foods,ফুডস,ফিউডস,ফুডস
gavaskarer,গাভাস্কারের,গাভাসকারের,গাভাস্কারের
parihar,পরিহার,পারিহার,পরিহার
fortis,ফর্টিস,ফরটিস,ফর্টিস
koroteer,করোটির,করোটীর,করোটির
raakaatasaalaat,রাকাতসালাত,রকাটসালত,রাকাতসালাত
irvine,ইরভিন,আরভিন,ইরভিন
smritisthaanagulo,স্মৃতিস্থানগুলো,স্মৃতিস্থানাগুলো,স্মৃতিস্থানগুলো
natoraj,নটরাজ,নটোরাজ,নটরাজ
haindbook,হ্যান্ডবুক,হাইন্ডবুক,হ্যান্ডবুক
ashlilatar,অশ্লীলতার,আশ্লিলতার,অশ্লীলতার
sirohi,শিরোহি,সিরোহি,শিরোহি
shansthader,সংস্থাদের,শান্থাদের,সংস্থাদের
intaaramet,ইন্টারমেট,ইন্টারাটেম,ইন্টারমেট
kadapa,কড়প,কাড়াপা,কড়প
gopaneeyataar,গোপনীয়তার,গোপানীয়তার,গোপনীয়তার
giant,জায়ান্ট,গিয়ান্ট,জায়ান্ট
shenoy,শেনোয়,শেনয়,শেনোয়
raga,রাগ,রাগা,রাগ
sportiyaar,স্পোর্টিয়ার,স্পোর্িয়ার,স্পোর্টিয়ার
falato,ফলতঃ,ফালাতো,ফলতঃ
matthev,ম্যাথু,ম্যাথভেভ,ম্যাথু
byatikramer,ব্যতিক্রমের,ব্যাতিক্রমের,ব্যতিক্রমের
aropito,আরোপিত,অরোপিত,আরোপিত
dokaanpaat,দোকানপাট,দোকানপাত,দোকানপাট
shabdabaaji,শব্দবাজি,শব্দাবাজী,শব্দবাজি
bharatpur,ভারতপুর,ভারতপুরের,ভারতপুর
nadite,নদীতে,নাদিতে,নদীতে
gushtheer,গুষ্ঠীর,গুষ্ঠির,গুষ্ঠীর
aventura,এভেনটুরা,আভেন্টুরা,এভেনটুরা
haalnagad,হালনাগাদ,হালনাগড,হালনাগাদ
labanaktota,লবণাক্ততা,লববাক্ততা,লবণাক্ততা
danasah,ডনসহ,দানাসহ,ডনসহ
vishnur,বিষ্ণুর,বিশ্নুর,বিষ্ণুর
nanii,নানী,নানি,নানী
bhabun,ভাবুন,ভবুন,ভাবুন
mitroke,মিত্রকে,মিত্রোকে,মিত্রকে
vajohari,ভজহরি,বাজোহারী,ভজহরি
shahjahanpur,শাহাজাহানপুর,শাহজহানপুর,শাহাজাহানপুর
waden,ওয়ার্ডেন,ওয়াদেন,ওয়ার্ডেন
vernon,ভর্ণন,ভেরনন,ভর্ণন
seekkhamulok,শিক্ষামূলক,শিক্ষাূললক,শিক্ষামূলক
chaudhari,চৌধরী,চৌধরাী,চৌধরী
ekdala,একডালা,একদালা,একডালা
egonor,এগোনোর,ইগনর,এগোনোর
swiperer,সুইপারের,স্বিপেরের,সুইপারের
grove,গ্রোভ,গ্রোভে,গ্রোভ
kitex,কিটেক্স,কাইটেক্স,কিটেক্স
esechilo,এসেছিলো,এসেছিল,এসেছিলো
dokankey,দোকানকে,ডোকানকে,দোকানকে
dharake,ধারাকে,ধরাকে,ধারাকে
notesh,নোটস,নোটেশ,নোটস
molly,মলি,মললি,মলি
vittitey,ভিত্তিতে,ভিট্টিতে,ভিত্তিতে
putrabadhoo,পুত্রবধূ,পুত্রবাূ,পুত্রবধূ
ananyo,অনন্য,অনান্য,অনন্য
inshtitution,ইনস্টিটিউশন,ইনস্টিটুশন,ইনস্টিটিউশন
petero,পিটারও,পেটের,পিটারও
pitaar,পিটার,পিতার,পিটার
pasco,পাসকো,পাস্কো,পাসকো
jounata,যৌনতা,জৌনাটা,যৌনতা
gosthigoto,গোষ্ঠীগত,গোষ্ঠিগত,গোষ্ঠীগত
sthalabandara,স্থলবন্দর,স্থালাবন্দরা,স্থলবন্দর
hathah,হঠাৎ,হাথাহ,হঠাৎ
deqa,দেকা,ডিকে,দেকা
ektana,একটানা,একতানা,একটানা
abosar,অবসর,অবসার,অবসর
adminishtration,অ্যাডমিনিস্ট্রেশন,অ্যাডিমিনিট্রেশন,অ্যাডমিনিস্ট্রেশন
bhittitey,ভিত্তিতে,ভিট্টিতে,ভিত্তিতে
obheenetader,অভিনেতাদের,ওভিনেতাদের,অভিনেতাদের
gheta,ঘাট,ঘেট,ঘাট
crosse,ক্রসে,ক্রোসে,ক্রসে
grapevine,গ্রাপেভিনে,গ্রাপেভিই,গ্রাপেভিনে
godaa,গোড়া,গোডা,গোড়া
sqeem,স্কিম,সিকিএম,স্কিম
matheran,মাথেরান,ম্যাথেরান,মাথেরান
khamotasin,ক্ষমতাসীন,ক্ষমতাসিন,ক্ষমতাসীন
world,ওয়ার্ল্ড,ওয়ার্লড,ওয়ার্ল্ড
nag,নাগ,নযগ,নাগ
shabashkripashhana,সাবস্ক্রিপশন,শবশক্রিশন,সাবস্ক্রিপশন
highcommissioner,হাইকমিশনার,হাইকমমিশনের,হাইকমিশনার
shaaraahoke,সারাহকে,শারাহকে,সারাহকে
petam,পেতাম,পেটাম,পেতাম
baastabaayaner,বাস্তবায়নের,বস্তবায়নের,বাস্তবায়নের
yuddhajeebeer,যুদ্ধজীবীর,যুদ্ধাজীবীর,যুদ্ধজীবীর
kokuyo,কোকুয়ো,কোকিয়ো,কোকুয়ো
triparn,ত্রিপর্ণ,ত্রিপার্ন,ত্রিপর্ণ
swarthoke,স্বার্থকে,স্বার্থথেকে,স্বার্থকে
urbana,আরবানা,উরবানা,আরবানা
rodreegej,রদ্রিগেজ,রড্রিজেজ,রদ্রিগেজ
lokaraa,লোকরা,লোকারা,লোকরা
mangshee,মংশী,মাংশি,মংশী
albarto,আলবার্তো,অ্যালবার্টো,আলবার্তো
pope,পোপ,পপে,পোপ
ranajit,রণজিৎ,রনাজিৎ,রণজিৎ
wilkinson,উইলকিনসন,উইলিকসনস,উইলকিনসন
prabaalapraacheer,প্রবালপ্রাচীর,প্রবারাপ্রাচীর,প্রবালপ্রাচীর
antonio,আন্তোনিও,অ্যান্টোনিও,আন্তোনিও
saatataay,সাতটায়,সাতাতায়,সাতটায়
clinton,ক্লিনটন,ক্লিন্টন,ক্লিনটন
motamotke,মতামতকে,মোটামোটকে,মতামতকে
rajbondider,রাজবন্দীদের,রাজবন্দিদের,রাজবন্দীদের
khomotasin,ক্ষমতাসীন,ক্ষমতাসিন,ক্ষমতাসীন
paradee,প্যারেড,পারাড়,প্যারেড
phaarm,ফর্ম,ফার্ম,ফর্ম
chittakarsak,চিত্তাকর্ষক,চিত্তাকর্সক,চিত্তাকর্ষক
pareekkhaay,পরীক্ষায়,পরিক্ষায়,পরীক্ষায়
bishaashti,বিশ্বাসটি,বিষাটটি,বিশ্বাসটি
tomar,তোমার,টোমার,তোমার
amanajogeetaar,অমনযোগীতার,আমানযোগীতার,অমনযোগীতার
vishwakarma,বিশ্বকর্মা,বিশ্বকর্ম,বিশ্বকর্মা
mahinda,মাহিন্দা,মহিন্দা,মাহিন্দা
durgotsaber,দুর্গোৎসবের,দুর্গৎসবের,দুর্গোৎসবের
kaafer,কাফের,কাফার,কাফের
dastaana,দস্তানা,দাস্তানা,দস্তানা
koonj,কুঁজ,কুনজ,কুঁজ
otitke,অতীতকে,অতিতকে,অতীতকে
boar,বোর্,বোয়ার,বোর্
lettars,লেটারস,লেটার্স,লেটারস
shushi,সুসি,শুশী,সুসি
taay,তায়,টায়ে,তায়
kashtokor,কষ্টকর,কাষ্টকর,কষ্টকর
susanbaddha,সুসংবদ্ধ,সুসনবদ্ধ,সুসংবদ্ধ
shobhaazatraay,শোভাযাত্রায়,শোভাজাত্রায়,শোভাযাত্রায়
gandhinagar,গান্ধিনগর,গান্ধিনগরের,গান্ধিনগর
juned,জুনেদ,জুনেড,জুনেদ
robles,রোব্লেস,রবলস,রোব্লেস
diyaaraate,দিয়ারাতে,দিয়ারাটে,দিয়ারাতে
gitikabi,গীতিকবি,গীতিকাবি,গীতিকবি
maruti,মারুতি,মারুটি,মারুতি
bolokaan,বলকান,বোলোকান,বলকান
horasher,হোরাসের,হরাশের,হোরাসের
projanmo,প্রজন্ম,প্রজান্ম,প্রজন্ম
shoronika,স্মরণিকা,শরণিকা,স্মরণিকা
sanshodhanakaareeder,সংশোধনকারীদের,সন্োধনকারীদের,সংশোধনকারীদের
kaaranao,কারণও,কারানাও,কারণও
biniyogakaaree,বিনিয়োগকারী,বিনিযোগাকারী,বিনিয়োগকারী
hassan,হাস্সান,হাসান,হাস্সান
niraananda,নিরানন্দ,নিরানন্দা,নিরানন্দ
jagtap,জগ্তাপ,জগতাপ,জগ্তাপ
bareilly,বরেলি,ব্যারেলি,বরেলি
chaalachheelo,চালাচ্ছিল,চালাছিল,চালাচ্ছিল
durghatanaaguloke,দুর্ঘটনাগুলোকে,দূর্ঘটাগাুকোল,দুর্ঘটনাগুলোকে
granthatite,গ্রন্থটিতে,গ্র্যান্থাটিতে,গ্রন্থটিতে
nyaashanaleo,ন্যাশনালেও,ন্যাশানালেও,ন্যাশনালেও
bisesagya,বিষেশজ্ঞ,বিসেসজ্ঞা,বিষেশজ্ঞ
aabeshabihblwal,আবেশবিহ্বল,আবেশাবিশ্বল্যাল,আবেশবিহ্বল
parthii,পার্থী,পার্থি,পার্থী
ektanaa,একটানা,একতানা,একটানা
hoibar,হইবার,হৈবার,হইবার
bidyutaayan,বিদ্যুতায়ন,বিদ্যুতায়ান,বিদ্যুতায়ন
aleeraj,আলীরাজ,আলিরাজ,আলীরাজ
centro,সেন্ট্রো,সেন্ট্রোর,সেন্ট্রো
dattak,দত্তক,ডাট্টাক,দত্তক
primer,প্রাইমার,প্রাইমের,প্রাইমার
porissrome,পরিশ্রমে,পরিস্রমে,পরিশ্রমে
udbignota,উদ্বিগ্নতা,উদবিজ্ঞনা,উদ্বিগ্নতা
blagaarader,ব্লগারদের,ব্ল্গারাডের,ব্লগারদের
praanahaanir,প্রাণহানির,প্রাণাহনির,প্রাণহানির
doshbachhor,দশবছর,দশবাচ্চর,দশবছর
bongoposagor,বঙ্গোপসাগর,বঙ্গোসাগোর,বঙ্গোপসাগর
agartala,আগরতলা,আগারতলা,আগরতলা
rabibaarer,রবিবারের,রাবিবারের,রবিবারের
theng,ঠ্যাং,থিং,ঠ্যাং
drake,ড্রেক,দ্রাকে,ড্রেক
beaverton,বেঅভীর্তন,বিভার্টন,বেঅভীর্তন
essel,এস্সেল,এসেল,এস্সেল
manasikata,মানসিকতা,মানাসিকতা,মানসিকতা
damee,ডামি,ডামী,ডামি
bhaasar,ভাষার,ভাসার,ভাষার
baakyapatu,বাক্যপটু,বাক্যপাতু,বাক্যপটু
siramik,সিরামিক,শিরামিক,সিরামিক
jitatei,জিততেই,জিতাতেই,জিততেই
janiyechhi,জানিয়েছি,জািয়েছি,জানিয়েছি
laalasaa,লালসা,লাসাসা,লালসা
prasraaber,প্রস্রাবের,প্রসররাবের,প্রস্রাবের
totsonglogno,তৎসংলগ্ন,টৎসংলগ্ন,তৎসংলগ্ন
torentote,টরেন্টোতে,টোরেন্টতে,টরেন্টোতে
databaj,ডাটাবেজ,দাতাবাজ,ডাটাবেজ
zong,জং,জোং,জং
societi,সোসাইটি,সোসিয়ি,সোসাইটি
paoli,পাওলি,পাওলী,পাওলি
pikaso,পিকাসো,পিকাশো,পিকাসো
hilton,হিল্টন,হিলটন,হিল্টন
lawer,লোয়ার,লাভের,লোয়ার
liberal,লিবারাল,লাইবারাল,লিবারাল
maastarpiish,মাস্টারপিস,মাস্তারপিশিস,মাস্টারপিস
delivery,ডেলিভারী,ডেলিভারি,ডেলিভারী
avizuktake,অভিযুক্তকে,আভিযুক্তাকে,অভিযুক্তকে
prapak,প্রাপক,প্রপাক,প্রাপক
rishiraj,রিষিরাজ,রিশিরাজ,রিষিরাজ
omorotto,অমরত্ব,অরমত্ব,অমরত্ব
holdings,হোল্ডিংস,হল্ডিংস,হোল্ডিংস
protipado,প্রতিপদ,প্রতিপাদ,প্রতিপদ
nimnarupah,নিম্নরূপঃ,নিম্নারূপাহ,নিম্নরূপঃ
madrasagulo,মাদ্রাসাগুলো,মাদ্রাসগগুলো,মাদ্রাসাগুলো
panjika,পঞ্জিকা,পাঞ্জিকা,পঞ্জিকা
haariyechila,হারিয়েছিল,হারিয়েছিলা,হারিয়েছিল
oslil,অশ্লীল,ওসলিল,অশ্লীল
shishushilpeeder,শিশুশিল্পীদের,শিশুশিলদীদের,শিশুশিল্পীদের
solis,সোলিস,সলিস,সোলিস
onto,অন্তু,অন্টো,অন্তু
pepasii,পেপসি,পেপাসি,পেপসি
mausumey,মৌসুমে,মওসুমে,মৌসুমে
maaraoyaaraar,মারওয়ারার,মারাওয়ার,মারওয়ারার
riform,রিফর্ম,রাইফর্ম,রিফর্ম
paanchabaarer,পাঁচবারের,পঞ্চবারের,পাঁচবারের
bishari,বিরাশি,বিষারী,বিরাশি
dokanke,দোকানকে,ডোকানকে,দোকানকে
poostmaster,পোস্টমাস্টার,পুস্টমাস্টার,পোস্টমাস্টার
pudukkottai,পুদুক্কোটাই,পুুুক্তটাই,পুদুক্কোটাই
shri,শ্রী,শররি,শ্রী
srichakra,শ্রীচক্র,শ্রীচাকরা,শ্রীচক্র
bengalao,বেঙ্গলও,বেঙ্গালাও,বেঙ্গলও
jadhav,যাদব,যাধব,যাদব
alindo,অলিন্দ,অলিন্দো,অলিন্দ
arketekcharal,আর্কিটেকচারাল,আরকেটেকচরলাল,আর্কিটেকচারাল
dinvor,দিনভর,দিনভোর,দিনভর
koordi,কুর্দি,কুর্ডি,কুর্দি
barshapanjikaake,বর্ষপঞ্জিকাকে,বারসাপঞ্জিকাকে,বর্ষপঞ্জিকাকে
paatholoji,প্যাথলজি,পাথলজি,প্যাথলজি
protipada,প্রতিপদ,প্রতিপাড়া,প্রতিপদ
songasthan,সংস্থান,সঙ্গাস্থান,সংস্থান
fuds,ফুডস,ফাউস,ফুডস
bannar,ব্যানার,বান্নার,ব্যানার
